"题目",A,B,C,D,正确答案
"猫粮属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"节能灯属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"含汞的体温计属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"打火机属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"虾壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"回形针属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"隐形眼镜属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"废弃的植物属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"喝过的奶茶杯子属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"椰子壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"过期的感冒药属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"口红属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"二手手机属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"葡萄干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"干香菇属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"桂圆干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"红枣属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"烟头属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"碎纸机处理过的碎纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"包了口香糖的纸巾属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"水果核属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"擦鼻涕的餐巾纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"使用过的卫生巾属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"湿巾纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"鸡骨头属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"X光片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"相机底片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"板蓝根包装袋属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"手机电板属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"眼药水瓶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"钙片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"酒精属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"LV包属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"U盘属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"玻璃杯属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"不锈钢锅铲属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"充电宝属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"护肤品空瓶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"笔属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"贝壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"便利贴属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"鼻屎属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"CD属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"吃过的口香糖属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"串串竹签属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"蚊香片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"用过的尿不湿属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"奶茶里的珍珠属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"过期饼干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"白砂糖属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"葱属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"蜂蜜属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"樟脑丸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"指甲油属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"菜刀属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"电线属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"衣服属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"公交卡属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"可乐罐属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
玩具塑料盒属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"狗狗的笼子属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"百洁布属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"鞭炮属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"冰淇淋包装纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
茶包属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"擦眼镜布属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"方便面叉子属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"逗猫棒属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"毛发属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"果冻盒属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"固体胶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"甘蔗皮属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"火车票属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"胶带属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"咖喱粉属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"瓜子壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"前男友送的花属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"鸡蛋属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"煲仔饭属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
炸鸡属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"面粉属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"柠檬养乐多里的柠檬属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"照片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"温度计属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"染发膏属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"泡腾片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"暖身贴属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"保健品属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"旧灯泡属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"花露水属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"保健品瓶子属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"作业本属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"椰汁瓶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"纸牌属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"寿司属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"土豆属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"辣椒属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
维生素C片属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"荧光灯属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"502胶水属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
QQ糖属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
奥尔良鸡翅属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
西梅属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
八宝粥属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
白菜叶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
布丁属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
北京烤鸭属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
贝壳肉属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
菠萝包属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
爆米花属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
煮鸡蛋的壳属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
蚕宝宝属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
脆枣属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
大白兔奶糖属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
豆腐花属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
凤梨酥属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
番茄酱属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
果冻属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
凤爪属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
整只粽子属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
芝麻属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
干柠檬片属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
干面条属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
中药属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
鹌鹑蛋属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
无汞电池属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
外卖袋属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
塑料袋属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
粽叶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
粽子绳属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
3D眼镜属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
艾草灰属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
不干胶纸属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
丙烯颜料属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
爆竹属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
编织袋属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
菜板属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
彩票属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
电动牙刷刷头属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
大骨头棒属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
打火机属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
掉下来的牙齿属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
粉尘属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
发卡属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
发绳属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
艾灸条属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
面膜属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
棉签属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
沐浴球属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
暖宝宝贴属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
蓄电池属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
指甲油瓶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
笔记本电池属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
玻璃灯管属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
除渍剂属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
废弃灯泡属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
红花油属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
除甲醛竹炭包属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
膏药属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
碘酒瓶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
胶囊属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
口服液瓶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
止咳糖浆属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
纽扣电池属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
染发手套属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
杀虫剂属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
西瓜霜属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
油墨属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
手机钢化膜属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
瓷片属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
草席属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
泥土属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
防晒霜属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
固体胶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
芭比娃娃属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
白炽灯属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
笔记本电脑属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
鱼缸属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
充电式暖水袋属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
插座属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
钥匙属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
电热毯属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
耳机属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
耳环属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
发票属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
苹果手机属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
旧报纸属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
床单属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
旧袜子属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
瑜伽垫属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
酱油瓶属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
螺丝属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
棉布属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
毛绒玩具属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
木质梳子属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
泡沫板属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
手办属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
试卷属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
手机芯片属于什么垃圾？,干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
